Id	Sentence_1	Sentence_2	Class	Cosine_distance_layer_1	Cosine_distance_layer_2	Cosine_distance_layer_3	Cosine_distance_layer_4	Cosine_distance_layer_5	Cosine_distance_layer_6	Cosine_distance_layer_7	Cosine_distance_layer_8	Cosine_distance_layer_9	Cosine_distance_layer_10	Cosine_distance_layer_11	Cosine_distance_layer_12
135976	Correlata come la quarta rivoluzione industriale sta cambiando, totalmente, la nostra vita personale e professionale.	Sì perché le nuove tecnologie dell'intelligenza artificiale, dell'additive manufacturing, dell'Internet of Things e della robotica collaborativa stanno davvero cambiando il nostro vissuto.	0	0.0208	0.0407	0.0512	0.0369	0.035	0.0336	0.0362	0.0698	0.0851	0.1251	0.1321	0.069
161613	Ed è qui che viene fuori.	E investe gli ultimi soldi che ha a fare formazione.	1	0.0291	0.0326	0.0384	0.0343	0.0384	0.041	0.0465	0.0531	0.0626	0.0968	0.1978	0.2425
187358	Quando sei... in un paese come l'italia che è il più sismico dell'Europa.	Devi pensare che siamo in una situazione molto particolare, che circonda il monte Vettore che è chiamato, voi lo sapete certamente tutti, il cratere sismico.	0	0.0232	0.03	0.0487	0.0349	0.0328	0.0393	0.0402	0.0525	0.083	0.091	0.1195	0.0991
144547	Ogni anno, centinaia di artisti e di registi riescono a fare e produrre i loro cortometraggi e spessissimo trattano temi forti, importanti, culturalmente diversi.	Ma, purtroppo, sono destinati solamente ai festival, per cui con un'audience di nicchia, raggiungono poche persone.	0	0.0177	0.0267	0.033	0.032	0.0328	0.0348	0.0312	0.0449	0.0734	0.1065	0.2702	0.3141
187501	Se perdiamo l'ambiente, perderemo una bellezza, ma non la nostra possibilità di sopravvivere.	Un'azienda economicamente vitale è un'azienda in grado di aprire le proprie porte alla società e di mostrare con orgoglio come lavora.	1	0.0239	0.0352	0.0282	0.0204	0.0197	0.0212	0.0262	0.0248	0.0221	0.0254	0.0363	0.0438
33854	Queste sono le dune d'Algeri, e queste sono costruzioni di pietra che si facevano per raccogliere la temperatura, e al cambio giorno - notte dell'umidità intorno a queste pietre si condensava l'acqua dell'umidità, e si costruivano delle pozze per poter dar da bere agli animali.	La forma è stata poi l'oggetto di questo.	0	0.0271	0.0456	0.0445	0.0388	0.0435	0.0537	0.0734	0.0728	0.0595	0.0623	0.0859	0.2006
36443	Tra 4 miliardi di anni tutta l'acqua presente su questo pianeta sarà bollita.	E questo pianeta sarà completamente incompatibile con la vita.	0	0.0196	0.0302	0.0386	0.03	0.0415	0.0373	0.0343	0.0464	0.0772	0.1092	0.2722	0.169
102317	Il volersi bene.	e quindi un po' di capitale di solito ce lo metto io.	1	0.0473	0.0422	0.0581	0.0369	0.041	0.053	0.1169	0.187	0.2633	0.5679	0.8045	0.4289
82398	Abbiamo fatto il taglio.	"Arriva il DNA ""toppa"" che noi forniamo dall'esterno che vedete è appicicoso ai lati, è complementare alla sequenza del DNA tagliato, ma nel mezzo c'è una sequenza di DNA che vogliamo noi, come la vogliamo noi, disegnata da noi."	1	0.0564	0.0937	0.0977	0.0761	0.0734	0.0928	0.1404	0.1751	0.2126	0.4536	0.6883	0.276
151884	È il fotogramma di un quadro molto grande che è l'icona dell'arte del ventesimo secolo e si chiama Alchemy Alchimia, appunto.	Sono 2 metri e 40 per 1 metro e 40 di caos materico, come potete vedere, ma è un caos, diciamo, controllato.	0	0.0263	0.041	0.0373	0.0281	0.0277	0.027	0.0287	0.0551	0.0666	0.0854	0.1848	0.1705
154140	Oggi io cercherò di parlarvi un po' di economia circolare che, si badi bene, non è il costi e ricavi associati al mio spazioso girovita, ma qualcosa di più di più scientifico, di più affascinante.	Perché l'abbiamo fatto?	1	0.0528	0.0844	0.0853	0.064	0.0736	0.0834	0.1155	0.1145	0.093	0.1597	0.3889	0.2931
29898	Ecco che magicamente queste due dita diventano un'arma speciale che ci trasforma in dei guerrieri ninja.	"Sì, perché dalla didattica mi sono poi spostato nel mondo dell'intrattenimento faccio spettacolo, lo spettacolo si chiama ""La voce del corpo"" e porto in giro proprio le differenze tra la comunicazione non verbale degli italiani con quella degli altri paesi."	0	0.0304	0.0475	0.0386	0.0293	0.0355	0.0315	0.031	0.0266	0.0176	0.02	0.034	0.0691
150037	Federica sente, sente, parla con l'equipe, parla col suo psicologo, parla col suo psichiatra, racconta la sua storia e a un certo punto capisce che il problema non è il cibo.	"Il suo quesito è: ""Perché io sono al mondo? """	0	0.0405	0.0941	0.1001	0.0634	0.0631	0.0552	0.0593	0.0676	0.0856	0.1391	0.2467	0.2124
1093	Con questi presupposti abbiamo cercato di reagire ed è qui che è nata l'idea di formare una società cooperativa che si regge su tre concetti chiave: quello della cooperazione, quello dell'innovazione e quello della decontestualizzazione, intesa come la capacità di intraprendere delle iniziative anche al di fuori del contesto dell'alta montagna, che ci appartiene, e cercando però di mettere a frutto quelle che sono delle nostre caratteristiche peculiari.	Disagio pesante all'inizio, grande rispetto per i cammelli perché chi danneggia un cammello paga circa 8000 euro di multa.	1	0.0271	0.0596	0.0469	0.0327	0.0361	0.04	0.0527	0.0483	0.0384	0.0536	0.0905	0.196
140837	Tra il 10 e il 20%?	Un po' meno.	0	0.0441	0.0471	0.077	0.0572	0.0618	0.0749	0.0771	0.1514	0.2512	0.3895	0.4829	0.3674
146060	Io li chiamo i piccoli miracoli di Emanuele.	"Quando vado a parlare con i genitori, ecco ai genitori dico: ""Impariamo davvero a non giudicare solo i nostri figli."	0	0.0421	0.0476	0.0481	0.0378	0.0468	0.0425	0.0464	0.0484	0.0503	0.1013	0.1066	0.18
176207	Immaginate: 40 anni che non veniva sistemata una strada, e grazie al coinvolgimento della provincia e della Regione Lombardia è stata sistemata.	La strada ricorda ovviamente la logistica dell'evento: erano 1368 le persone che bisognava trasportare da Varenna e dagli aeroporti, e ovviamente gestirne anche tutta la logistica.	0	0.0174	0.0231	0.0298	0.026	0.0343	0.0306	0.0315	0.0555	0.0787	0.0848	0.1794	0.1715
103427	Open Table è un'azienda in America che si occupa di restaurant reservation, quindi puoi prenotare un ristorante in qualsiasi parte del mondo, in qualsiasi orario.	Allora, l'arte per molto tempo è stata patrimonio di una cerchia ristretta di persone basti pensare nel Rinascimento, quando la Chiesa, praticamente, era padrona non solo dell'arte e degli artisti, ma anche della vita stessa degli artisti.	1	0.0196	0.0345	0.0275	0.0208	0.0196	0.0166	0.0183	0.0182	0.0142	0.0165	0.0575	0.131
4278	Non so se ve lo ricordate.	Cioè, se uno non riesce a fare quello che ha bisogno di fare nell'ente in cui sta lavorando, lo può portare da un'altra parte.	1	0.0655	0.0991	0.0899	0.0633	0.068	0.0731	0.076	0.1076	0.1293	0.1907	0.2135	0.2411
78499	Cosa ha fatto questa modifica?	Ha consentito alla mia macchina di iniziare a leggere dei colori che prima non poteva vedere.	0	0.0411	0.0765	0.0677	0.0577	0.0636	0.0812	0.0817	0.0922	0.1147	0.1567	0.4838	0.3727
80	Facciamo Future Proof Design: aiutiamo le aziende ad essere a prova di futuro.	Concludo dicendo che probabilmente è proprio intorno a questa parola che ruotano anche le esperienze di queste For Benefit: ricercano il profitto, ma nello stesso tempo vogliono impattare l'ambiente e le persone.	1	0.028	0.0334	0.0398	0.0359	0.0374	0.0367	0.0393	0.0531	0.097	0.1496	0.1558	0.0994
141758	"Prima che io vi dica che cosa sono i ""Libri Bianchi"", mi piace raccontarvi una storia: ero a San Mauro Forte, un comune della collina materana, e stavamo facendo l'attività ""I libri hanno messo le ruote""."	"Che cosa sono i ""Libri Bianchi""?"	1	0.0315	0.0504	0.0753	0.0601	0.0656	0.066	0.0716	0.1087	0.1371	0.1625	0.2234	0.2415
76649	Un mosaico che ci deve servire perché altrimenti noi moderni, che siamo montati sulle spalle di quelli che ci hanno preceduto, i proverbiali giganti, non guardiamo più in alto o più lontano come dovremmo, ma appunto, ci guardiamo l'ombelico.	Accanto alla mia aula, iniziava il corso di propedeutica per neonati e mamme al seguito.	1	0.0384	0.0556	0.0595	0.0465	0.0461	0.0475	0.0538	0.0916	0.1102	0.1195	0.2133	0.2341
193967	Perché ce ne siamo dimenticati?	Allora la ricerca sui virus è sicuramente importante e quella che vi racconto adesso è la mia storia personale con questo virus.	1	0.0462	0.0947	0.083	0.0696	0.0743	0.0801	0.0872	0.1055	0.1216	0.1461	0.087	0.1056
105434	Perché una persona entra in azienda senza alcuna competenza pratica - e poi via via acquisisce ricchezza, incrementando le proprie conoscenze.	I nostri bisogni?	1	0.077	0.0915	0.0909	0.0628	0.0643	0.0728	0.0814	0.1106	0.1482	0.188	0.1572	0.154
142879	E nell'emisfero boreale, invece del ghiaccio, usiamo l'acqua.	KM3NeT, nel Mediterraneo, Tolone, la Grecia, 80 km a sud - est di Capo Passero in Sicilia, a 3.500 metri di profondità, colonne di queste macchine fotografiche, tra virgolette, che devono anche resistere alle correnti marine e non andarsene dove vogliono, per fotografare la luce emessa dai neutrini quando interagiscono con l'acqua del mare.	0	0.0264	0.0608	0.0561	0.0376	0.0351	0.0378	0.0489	0.0437	0.0337	0.0437	0.0516	0.129
124063	I miei più sentiti saluti, Ginevra.	Il lavoro sta cambiando, sta cambiando profondamente.	1	0.0388	0.0443	0.0409	0.027	0.0317	0.027	0.0291	0.0303	0.0535	0.0921	0.3381	0.4337
152227	Ad esempio, noi uomini non sappiamo mai trovare le cose nella borsa delle donne.	Oppure ci dimentichiamo gli anniversari: quello di matrimonio, di fidanzamento, del primo bacio - perché lei vuole sapere anche quello del primo bacio.	0	0.0155	0.0254	0.0299	0.0265	0.0346	0.0364	0.0344	0.0363	0.0556	0.0819	0.0481	0.0714
112317	E in particolare, le emissioni di metano da parte dei ruminanti.	La FAO ha stimato che avremo bisogno del 70 percento in più di quello che c'è adesso di cibo.	1	0.0268	0.0429	0.05	0.0364	0.0363	0.0379	0.0365	0.0513	0.0741	0.1183	0.0917	0.1126
190860	Perché ve ne parlo con tanta enfasi?	Non solo perché quel progetto è dedicato a rinfocolare la volontà, da parte dei cittadini, di credere in una società diversa e migliore e quella di anche dare un segnale ai politici e a chi ci vuole rappresentare di infondere fiducia nei confronti dei cittadini verso una società migliore.	0	0.0638	0.0995	0.0932	0.0715	0.0773	0.0779	0.0895	0.119	0.1337	0.2199	0.1487	0.1737
185837	A me piace scrivere.	Ho inventato un gioco, per riuscire a fare capire alle persone al di fuori del mio mondo cosa vuole dire la montagna.	0	0.0463	0.06	0.0878	0.069	0.072	0.0751	0.0729	0.075	0.0878	0.1614	0.3898	0.3705
101813	Ma badate bene: potete lamentarti di notte o di giorno, da soli o con gli amici, ad alta voce o nella vostra mente.	Potete lamentarvi di una cosa già successa o di una cosa che magari un domani potrebbe accadere.	0	0.0262	0.0345	0.0343	0.0313	0.036	0.0316	0.0413	0.0622	0.0872	0.1356	0.0651	0.0827
121415	Io qualche anno fa, per scherzo, a un congresso internazionale ho proposto, a Lisbona - ma giuro, scherzavo.	E quindi sono molto d'accordo con l'esito della vostra votazione, e vi ringrazio.	1	0.0275	0.0417	0.0529	0.0307	0.0313	0.0314	0.032	0.0588	0.0678	0.0973	0.3595	0.4431
148586	E quindi, studiando e togliendo gli elementi del passato, ci rimane una porzione di futuro.	Se la analizziamo rispetto alla dinamica che sta avendo, alla diffusione, a come cresce, possiamo già avere in mano degli elementi che ci permettono di studiare il futuro.	0	0.0124	0.0225	0.0255	0.0205	0.0263	0.0302	0.0325	0.0332	0.0439	0.0836	0.1213	0.1825
100138	Quindi è stato veramente fantastico.	Però devo ammettere che, appunto, in un bel giorno, più precisamente proprio il giorno del mio compleanno, il 15 giugno, il mio viaggio è cambiato completamente.	0	0.0632	0.0634	0.0601	0.043	0.0538	0.0638	0.0681	0.0783	0.0872	0.1219	0.0747	0.0723
97630	Ricordate i dati sugli aiuti alimentari?	Quelle 14.000 persone in difficoltà possono essere aiutate con meno del un percento dei beni di uso civico.	0	0.0452	0.0576	0.0606	0.0458	0.0486	0.0541	0.0612	0.0703	0.0918	0.1199	0.2671	0.3644
56989	Un esempio su tutti è lo scimpanzè.	Pensate: lo scimpanzè è la specie a noi più vicina.	0	0.0162	0.028	0.0275	0.0186	0.0233	0.0201	0.0236	0.0271	0.0345	0.0505	0.0982	0.0909
91010	Si è trasformato: ci sono tanti, tanti tipi di lavori, e la maggior parte di questi non sono tutelati.	Le donne sono un pezzo di welfare.	1	0.0238	0.0487	0.0577	0.0408	0.0509	0.0492	0.0557	0.0625	0.072	0.1048	0.0946	0.1603
82877	No ragazzi ce ne vuole tantissima Sto per rivelarvi i risultati del mio test del DNA Il test del DNA è un regalo dei miei genitori Fra qualche settimana avrò i risultati il mio DNA sarà online e c'è anche una specie di social network Io sono Roxy e sono troppo emozionata perché ho i risultati del mio test del DNA Sono entrata nel mio account e i risultati stavano là I risultati stavano là.	Cosa succede?	0	0.0957	0.1874	0.1665	0.1115	0.119	0.1147	0.157	0.2433	0.2782	0.3254	0.2497	0.3423
114704	Adesso magari vogliamo ridurre il tono di grassi saturi, dobbiamo cercare di fare una pasta frolla non con il burro ma magari con olio; è molto difficile, poi ve lo dirò.	Quindi cambiano le nostre conoscenze nutrizionali, cambiano in continuazione.	0	0.0411	0.0724	0.0603	0.046	0.0486	0.0535	0.0447	0.0442	0.0436	0.065	0.0705	0.133
108265	Con la matematica siamo però già vicini a poter descrivere l'azione e la disfunzione cardiaca in termini estremamente precisi.	Perché in carcere non si lavora?	0	0.0627	0.1134	0.1062	0.0647	0.068	0.0578	0.0586	0.0687	0.0892	0.1552	0.3778	0.2516
170614	I rapporti di forza sono questi.	Quando cioè, visto che abbiamo introdotto la Cina - che resta un paese ancora terrestre, sebbene si stia espandendo in maniera eccezionale per quanto riguarda i mezzi navali - quando la Cina sarà in grado di interdire agli americani almeno il controllo di un mare rivierasco.	1	0.0449	0.0577	0.074	0.058	0.0637	0.0666	0.0743	0.0875	0.0872	0.1036	0.0979	0.1903
108910	Questa è la fotografia del cielo stellato nell'emisfero australe, la Via Lattea domina il cielo stellato.	È una forma di energia distribuita nello spazio, che è necessaria per spiegare come mai osserviamo che lo spazio si sta espandendo in accelerazione.	1	0.027	0.0381	0.0445	0.0324	0.038	0.0576	0.0736	0.0683	0.0792	0.0836	0.1104	0.2307
152714	Partivo da casa verso qualsiasi luogo che invece mi facesse sentire a casa.	Fosse una falesia in Spagna, o le pareti delle gole del Verdon, una cresta sul mone Bianco, o la prima highline al mondo su The Old Man of Stone, in Scozia, sull'isola di Skye.	0	0.0383	0.0644	0.0564	0.0366	0.0417	0.0691	0.0742	0.0997	0.1446	0.1939	0.6371	0.6461
4389	Quarto, e infine, questa è un'immagine di Palazzo Italia la sera, mentre stiamo lavorando, perché un paio di questi piani già funzionano ed esistono.	E forse niente come la scienza è una grande, grande opera collettiva, un grande sforzo collettivo di persone appassionate del proprio lavoro.	1	0.0162	0.0422	0.0419	0.0285	0.0359	0.0314	0.027	0.0514	0.0622	0.0792	0.2441	0.2343
26909	"""Ancora lavora."""	"E naturalmente: ""Eh, ancora fa sesso.."" sottolineato ""...alla sua età""."	0	0.0258	0.0434	0.0543	0.0408	0.0572	0.0597	0.0639	0.0699	0.09	0.2152	0.5957	0.4738
28308	Ma la dialisi non sostituisce tutte le funzioni del rene.	Nell'altra parte del mondo, nei paesi emergenti, la dialisi è poca o nulla.	1	0.0228	0.0253	0.0414	0.0278	0.0278	0.0241	0.0239	0.0388	0.0549	0.0861	0.1099	0.114
26035	Oppure il quotidiano può essere uno stilista come Tommy Hilfiger - questa è una pubblicità delle sue - che mi aveva chiesto di fare una vetrina speciale per questo lancio a Milano etc. etc.	Pensate a tutti gli artisti della sua epoca.	1	0.0391	0.073	0.099	0.0696	0.0807	0.0753	0.0724	0.0818	0.0826	0.1137	0.1631	0.1465
61314	E per quanto questa cosa ci possa far sorridere, possa essere curiosa, ci fa comprendere quanto l'interazione con l'uomo sia distruttiva per la fisiologia, per la biologia e la natura di un animale selvatico.	Andy e Wendy, due bradipi, anche loro utilizzati come mascotte in un centro di recupero.	0	0.0258	0.0517	0.0592	0.0463	0.0478	0.0444	0.0507	0.076	0.0847	0.1042	0.0939	0.2349
34114	Quindi, ad esempio, un sistema di Reinforcement Learning che sta imparando a giocare a scacchi verrà ricompensato ogni qualvolta fa una mossa che lo mette in una posizione di vantaggio rispetto all'avversario, mentre viene punito virtualmente quando fa una mossa non opportuna.	Così facendo, mano a mano, giocando tante partite, il sistema impara.	0	0.0352	0.0585	0.0635	0.0492	0.0498	0.0576	0.0545	0.0759	0.0815	0.1141	0.3051	0.2234
199177	Guardate le dimensioni, guardate quest'uomo che sto indicando qui.	Questo è un uomo, questa è una parete di circa 80 metri di altezza, all'interno di una montagna, quindi un mondo completamente sconosciuto, di roccia, che racconta una storia.	0	0.0458	0.0559	0.0511	0.0427	0.0438	0.0543	0.0662	0.0674	0.0694	0.1037	0.3313	0.4401
66581	Ma soprattutto il problema è: come fa un singolo magistrato a discernere tra esperti autorevoli a livello internazionale e ciarlatani?	Come fa da solo a capire chi è la persona a cui affidarsi?	0	0.0232	0.0411	0.0454	0.0327	0.04	0.0391	0.0373	0.0406	0.0473	0.0969	0.0739	0.1125
124215	"E Moniz scriverà nel suo diario, ""Abbiamo fatto angiografia a 1, 2, 3, 4, 5, malati: sono morti tutti."""	E finalmente il sesto malato non muore, e riescono per la prima volta al mondo a ottenere delle immagini come quelle che vedete qui.	0	0.0288	0.0506	0.0398	0.0257	0.0286	0.0316	0.0307	0.0384	0.062	0.0675	0.0785	0.0915
196834	Nelle storie dei pazienti che incontravo in ospedale mi rendevo conto che c'era un filo conduttore, un filo rosso, che si può chiamare mancanza d'amore, di amore per se stessi.	Solo ora io mi rendo conto di come quell'esperienza in qualche modo stava già segnando il mio futuro.	1	0.0188	0.0397	0.0366	0.0248	0.0285	0.0245	0.0325	0.0315	0.0266	0.0249	0.0774	0.069
176738	Il diavolo era così arrabbiato con quest'uomo perché non cedeva alle sue tentazioni, che un giorno gli dette uno schiaffo così forte da farlo girare per tre volte.	E per la potenza di quello schiaffo tutta la terra tremò e si staccarono dei sassi dal monte.	0	0.0156	0.0389	0.0633	0.0506	0.0611	0.064	0.0717	0.0835	0.1028	0.1348	0.464	0.4513
74086	Due, è scritto in maniera chiara, tecnologica ma anche di processo.	Noi ci dedichiamo, in questo momento particolare, e questa è sempre una parte del piano, alle piattaforme abilitanti.	1	0.0203	0.0324	0.0238	0.0245	0.0265	0.0283	0.025	0.0242	0.0335	0.0442	0.0593	0.1273
43920	È ineludibile, non ci possiamo fare niente.	Probabilmente è destinata anche ad aumentare, o a rimanere costante.	0	0.0363	0.0316	0.0382	0.0257	0.0286	0.037	0.0412	0.0475	0.0607	0.0802	0.1748	0.177
18221	Poi andavo da quelli che facevano l'heavy metal, e quindi cambiava l'impostazione: molto aggressivo, e il basso andava sempre più giù... Grazie.	"Sempre molto arrabbiati erano, sempre molto arrabbiati e non se ne capiva la ragione, cioè smettevano di suonare - ""Ciao come stai?"	0	0.0141	0.0248	0.0483	0.0322	0.0324	0.0295	0.0288	0.0544	0.0792	0.1258	0.5333	0.7342
24199	Mosso dalla curiosità dei miei studenti, Mi sono avvicinato alla robotica.	Abbiamo quindi realizzato una serra completamente automatizzata, dove le piante vengono irrigate quando serve.	0	0.0264	0.0402	0.0405	0.0311	0.0359	0.0352	0.0346	0.0358	0.0636	0.0962	0.1406	0.1538
86547	Come vedete, non ha funzionato proprio bene.	"Questi sono tre filamenti di seta di ragno, sono lunghi 35 cm, guarda caso come il piano armonico di un violino, e sono prodotti da un esemplare femmina di ""golden orb - weaver"", che è questo ragno."	1	0.0434	0.0887	0.0828	0.0634	0.0691	0.0765	0.0811	0.0998	0.1325	0.1494	0.2561	0.5061
5700	Io vedo pazienti che rimangono stabili, pazienti che peggiorano, alcuni precipitosamente, altri in maniera più graduale, e ce n'è un paio che persino migliorano.	Ma allora com'è possibile?	0	0.0381	0.0754	0.0583	0.0418	0.0522	0.0585	0.0702	0.0678	0.057	0.0831	0.2006	0.1717
163500	e quindi abbiamo un nuovo prodotto: la PELLEMELA.	In Europa sono centinaia e centinaia di tonnellate di questo materiale che ogni anno vengono smaltiti o bruciati.	1	0.0325	0.0517	0.0622	0.0394	0.0449	0.0447	0.0522	0.0667	0.1087	0.1306	0.1051	0.0831
19237	Mio padre si trovava in Bangladesh quando è crollato il Rana Plaza.	"Dal documentario ""The True Cost"" di Andrew Morgan MW È difficile rimanere impassibili quando si vede questo."	1	0.0288	0.0594	0.0425	0.03	0.0327	0.0358	0.0341	0.0333	0.0349	0.0406	0.1498	0.2793
57531	"E stranamente, in arte, lo scarabattolo viene definito ""natura morta""."	La prima è quella che affronteremo adesso, è il buio.	1	0.0329	0.0447	0.0367	0.0284	0.0362	0.0381	0.0383	0.0465	0.0635	0.0922	0.0793	0.0781
132598	"Incominciamo ad autosvalutarci: ""Perché hanno licenziato me? """	"""Non meritavo di avere quella posizione""; ""Non ho mai mostrato di essere bravo su quello o su quell'altro""; ""Non ho più possibilità""; ""Cosa penseranno di me i miei familiari? """	0	0.0302	0.0767	0.0654	0.0442	0.0462	0.0424	0.0402	0.0617	0.0793	0.1348	0.2926	0.2033
193250	Era il 1997 e Richard Strohman, uno dei più importanti biologi molecolari, su Nature Bio Technology, rivista più importante, forse al mondo, di biologia molecolare pubblicava un articolo in cui ci diceva: abbiamo creduto che l'informazione andasse dal DNA al RNA e alle proteine, e non abbiamo considerato che andava anche nell'altro senso, dall'esterno verso l'interno, cioè dall'ambiente verso l'interno.	E che cos'è l'ambiente?	0	0.0398	0.1108	0.0931	0.0749	0.0776	0.0842	0.1032	0.105	0.0795	0.0902	0.1119	0.1775
150569	Per la cronaca, il guidatore ne è uscito illeso e con una storia da raccontare.	È finito tutto bene.	0	0.0554	0.1111	0.0911	0.0716	0.0848	0.104	0.1665	0.2295	0.3896	0.7237	0.9325	0.5717
79672	E anche questa non è una cosa da poco perché voi sapete che oggi il mondo... questi signori qua, che rappresentano le piattaforme oggi disponibili sui vari continenti, fatturano, o meglio, hanno un PIL proporzionale a tanti paesi vicini a noi.	"Quello che voglio dirvi, in conclusione, è che se ci guardiamo attorno, se guardiamo i nostri vicini e noi stessi, a come competere con altri paesi, etc., la domanda che ci possiamo porre è: ""hai l'energia innovativa? """	0	0.0103	0.0251	0.0314	0.025	0.0273	0.0257	0.0277	0.0339	0.0419	0.0519	0.0833	0.1132
77751	Ce li abbiamo tutti lì!	Ancora una volta, tutto lì, a portata di un click - sul nostro smartphone, in questo caso.	1	0.0673	0.1057	0.1095	0.0741	0.0832	0.0798	0.1048	0.1255	0.1538	0.3548	0.7205	0.5457
17890	La prima che ho appreso io è che c'è una condizione senza la quale nulla è possibile, con un rapace.	Ed è la sua fiducia nei miei confronti.	0	0.0309	0.0479	0.051	0.0362	0.0422	0.0484	0.055	0.0747	0.1053	0.1643	0.2343	0.1324
120072	Durante la notte, però, la situazione degenera di nuovo: il suo sangue è come impazzito, non coagula più.	Per provare a salvarla, non ci resta che volare in sala operatoria e toglierle l'utero.	1	0.0216	0.0367	0.0464	0.0303	0.0294	0.0282	0.0253	0.0383	0.0627	0.0764	0.1993	0.3357
36367	Però la rete l'ha fatto.	E poi un'altra domanda: vi siete mai chiesti per quale motivo in rete ci sono così tanti siti dove porre delle domande in modo anonimo?	1	0.0397	0.0782	0.0735	0.056	0.0619	0.0616	0.0693	0.0586	0.0424	0.0494	0.1554	0.2064
129691	Il museo deve affascinare, deve coinvolgerci, deve farci capire il quadro di insieme di un racconto che diventa sempre più complesso e poi deve mandare successivamente all'approfondimento, perché non posso più staccarti da Netflix o da Candy Crush se penso di farti la lezione al museo.	La cosa forse positiva è che tutti insegniamo in università, cioè stiamo tutti insegnando a qualche generazione più giovane a farlo questo lavoro invece, a costruire un sistema, un metodo.	1	0.0164	0.0334	0.032	0.0239	0.0252	0.0234	0.0295	0.0392	0.0541	0.0764	0.189	0.2394
