Sentence_1	Sentence_2	Class	flesch_reading_ease_S_1	flesch_reading_ease_S_2	gulpease_index_S_1	gulpease_index_S_2	flesch_reading_ease_S_1_S_2	gulpease_index_S_1_S_2
I miei due amici che mi accompagnavano dormivano profondamente, profondamente.	Sono uscite due cose: La prima, è che i miei genitori tanto sportivi, che quindi andavamo sempre a sciare, tutti i weekend, e noi, da Roma, naturalmente non avevamo un'automobile adatta al ghiaccio, alla neve, ma non importa, si faceva lo stesso!	1	42.0	48.1	50.0	47.3	59.72	47.8
Pensa a proteggere se stessa, a consumare poche energie, ha questo istinto di autoconservazione e, per fare questo, non esita a mentirci.	Immediatamente scatta un allarme e inonda il sangue con sostanze che ci fanno reagire.	1	65.7	74.54	49.9	58.3	70.24	53.2
Oppure raccontare di come Brian Acton, quest'altro signore alle mie spalle, il fondatore di Whatsapp, quando cercava lavoro è stato rifiutato prima da Facebook e poi da Twitter.	Perché io credo che la differenza, in fin dei conti sia veramente lì.	1	56.34	98.58	46.1	68.2	73.29	53.1
Quindi stiamo cercando di dare il massimo valore a questi scarti industriali biologici e di trovare i prodotti adatti per dargli una nuova vita.	Mi piace più parlare di sostenibilità, di prodotti sostenibili, perché abbiamo un po' nella nostra mente che un prodotto riciclato sia sempre di scarsa qualità, di seconda scelta.	1	63.28	52.02	51.1	45.4	57.44	48.0
È stato un bello shock, anche perché ne avevamo parlato, sì, ma solo a livello di idea, non di fatto concreto.	E io penso, e se io accetto e poi il 10 Novembre sono morta, che figura ci faccio?	1	89.68	100.24	60.4	69.6	94.75	64.6
Se fossimo un paese islamico, probabilmente avremmo noi la palma di questa graduatoria.	Si è salvato perché gli altri compagni l'hanno portato rapidamente all'interno dello spazio abitato e ha potuto liberarsi di questo mezzo bicchier d'acqua in cui stava l'annegando.	1	70.86	48.58	54.4	43.1	59.0	46.8
Ce lo domandiamo ad ogni progetto.	"Ovvero se noi pensiamo al canto per eccellenza, che è il canto lirico, è anche chiamato il 'bel canto', pro prio perchè sono stati selezionati i suoni ""più belli"" a danno di quelli ""brutti""."	1	99.22	65.16	90.7	51.6	83.0	57.5
Questo ci permette di essere degli uomini e delle donne che hanno uno straordinario dono, che è quello delle emozioni.	Però, c'è un però.	0	74.0	121.8	54.5	126.5	88.9	66.5
Sapete una cosa?	Proprio lì dentro è nato il nostro primo spettacolo: abbiamo deciso di mettere su un vero spettacolo.	1	93.1	71.36	142.3	56.6	81.0	69.5
E noi, imprenditori, dobbiamo prenderci la responsabilità del nostro ruolo, dobbiamo avere la capacità di trasmettere la visione, l'opportunità e l'anima di questo lavoro.	Poi è vero che se tu ti butti col paracadute devi essere ottimista, perché dopo… vabbè, non entriamo in un giro che non finisce più.	1	38.32	76.5	39.8	57.8	57.83	49.0
Può essere l'ospedale: non possiamo lasciare che il cibo diventi solo un servizio alberghiero.	Le nostre tradizioni che fanno sì che ci sia un quotidiano più frugale, ma sempre buono, e una festa che dobbiamo aspettare e attendere per poter condividere un cibo più ricco con i nostri cari.	1	61.64	61.76	52.6	51.9	67.61	52.1
Suonando il pianoforte.	Quando non ho potuto - perché io ho perso tutto quello che avevo - ho immaginato, di suonare il pianoforte.	0	53.08	76.96	119.0	56.8	80.47	65.7
Milioni di occhi.	E quando abbiamo deciso di investire nella tecnologia usando i droni, gli altri ci credevano dei folli.	1	93.1	67.82	139.0	55.5	78.0	68.0
E dall'informatica ha preso quei metodi che permettono di creare prodotti molto velocemente, facendo innovazione.	Abbiamo fatto un Wikispeed build party cioè abbiamo costruito una macchina Wikispeed da zero.	1	37.48	70.22	43.0	53.3	53.31	48.0
Sono riuscito a conquistare, nella mia carriera da velocista ancora in corso, l'ingresso nella nazionale italiana nel gruppo sportivo delle Fiamme Azzurre.	Ce ne accorgiamo solamente quando alziamo la testa dai nostri piccoli - grandi affari personali.	1	46.56	57.38	41.7	51.9	51.94	45.7
Io, vivendo con loro un pochino di tempo, quelle calorie giornalmente non c'erano.	Ok, mi fermo qui che è meglio!	1	75.48	130.74	58.2	97.6	96.0	72.0
Non bastano.	Serve un'azione vigorosa dell'uomo.	0	94.4	31.8	184.0	84.0	49.18	67.3
Quindi siamo partiti prima di tutto cercando il consenso dell'azienda senza parlare di metodologia agile, di dettagli implementativi, che fanno sempre paura, ma concentrandoci, focalizzandoci sul 'perché' di questo cambiamento, sui risultati concreti per l'azienda, senza parlare di rivoluzione perché anche questa fa paura.	La rivoluzione lascia sempre morti in piazza.	0	13.88	79.32	32.0	76.1	40.33	38.0
Insomma, possiamo proprio dire, con buona pace di Bill Joy, che in realtà il futuro non ha mai avuto così tanto bisogno di noi.	Beh, voglio iniziare con una domanda: quanti di voi pensano di usare tanto il proprio cellulare?	0	85.78	83.7	58.2	57.1	86.0	57.8
Allora, facciamo un passo indietro, andiamo nel 2009.	È stato reinventato.	1	79.1	73.12	69.0	129.0	78.93	85.4
