Sentence_1	Sentence_2	Class	flesch_reading_ease_S_1	flesch_reading_ease_S_2	gulpease_index_S_1	gulpease_index_S_2	flesch_reading_ease_S_1_S_2	gulpease_index_S_1_S_2
Tieniti forte, mancano solo altri 180 km.	Nonostante questo pesante pensiero ero determinato a finire e non importava come, a dire la verità.	0	87.9	57.42	81.9	55.3	69.03	63.3
'Frocio' non si doveva dire neanche negli anni '80.	Così come 'negro', così come 'puttana'.	0	98.62	79.18	74.6	82.3	91.27	77.7
Sicuramente non si rifiuta.	Il Commendatore, dunque, non ha bisogno di tornare in scena per far sprofondare il libertino agli inferi.	1	61.8	71.36	104.0	54.3	74.77	63.8
Noi, oggi, ci fidiamo di quello che sta succedendo e di quello che ci protegge nel virtuale.	Son passati due anni in cui sono successe tantissime cose.	1	92.54	84.0	61.9	70.0	90.55	64.9
Ma la risorsa era solo quella della squadra, delle persone che avevano intuito questo progetto e veramente ha funzionato.	Cioè, il team a terra diceva: 'Adesso il pilota automatico non funziona.	1	62.82	76.42	50.6	63.2	69.11	55.5
Io ho avuto la grande fortuna di vivere questi sogni.	Non è vero che loro sono abituati a non bere, sono come noi.	1	96.0	103.2	75.0	75.2	100.29	75.1
Uno dei vantaggi essenziali del crowd - funding è che, oltre a permettere ai giovani editori di produrre autononomamente i propri libri sfruttando canali Internet consolidati ed autorevoli, consente di avere immediatamente una diffusione mondiale.	Infatti sono molto felice del fatto che il mio crowd - funding sia finito molto prima del previsto, in quanto ho raggiunto l'obiettivo con un mese d'anticipo rispetto ai tre che avevo preventivato.	0	21.06	55.4	35.2	46.8	37.72	40.8
Oggi noi abbiamo raggiunto 200 transazioni immobiliari, abbiamo concluso circa 200 transazioni immobiliari, quindi il dato è già aumentato rispetto a quello che vi hanno introdotto.	Siamo ormai a un rate di circa 30, 40 acquisizioni al mese; e cresciamo in modo esponenziale.	0	40.1	81.98	40.5	61.4	57.89	48.8
Da un'academy aziendale, insieme all'università.	"Ma l'iniziativa che più ci riempie di orgoglio è un corso di laurea dal titolo ""Innovation and Technology Management""."	0	6.5	69.12	61.0	52.2	61.42	54.0
Quando il corpo inizia a dolerci e dolerci, smonta di turno alla chetichella, è schifiltosa, non le piace vederci tra la folla.	Metteva sempre un maglione con i buchi, dei pantaloni lisi, e dei sandali senza calze.	1	73.86	81.52	54.5	61.0	77.81	57.1
Questo è un grafico che è tratto dal primo D.E.F dell'attuale governo, del governo quindi a maggioranza Grillina e Lega.	Cominciamo a partire dai numeri: gli italiani sono convinti che una persona su quattro che vive nel nostro paese sia immigrata.	1	87.0	69.7	68.5	52.3	80.63	60.2
La frontiera tecnologica è rappresentata dal Deep Learning, cioè apprendimento profondo.	Perché chi cambia idea, in seguito a esperienze di vita, in seguito a riflessioni, è prima visto come inconsistente che saggio?	1	50.0	72.58	45.4	52.3	66.84	49.9
Solo che c'è una differenza: l'alce irlandese non si è accorta che si stava estinguendo; noi invece abbiamo tutti gli strumenti per accorgerci che possiamo esserci infilati in una trappola evolutiva, e che quindi sarebbe bene uscirne il prima possibile.	Qui vedete il primo pozzo di 130 metri, una voragine profondissima; arriva a quasi 900 metri di profondità sotto la superficie della Terra, ha uno sviluppo attualmente rilevato, conosciuto, di circa 8 km.	1	39.0	46.84	43.0	46.0	42.95	44.3
Semplici, piccoli e leggeri, decisamente meno costosi di qualsiasi prototipo di robot.	Il vero problema è legato alla mancanza di norme e regole.	1	46.42	82.7	51.5	72.6	63.81	61.6
Entrambi esseri senzienti, entrambi con lo stesso spirito di vita, entrambi con gli stessi desideri.	Solo che i primi, gli umani, sarebbero usciti, come spesso Gorgona rappresenta l'ultima tappa del cammino detentivo, mentre i secondi, i non umani, sarebbero rimasti e poi usciti quasi sempre sotto forma di pezzi dei loro corpi o di trasformazioni delle loro secrezioni come appunto il formaggio.	0	65.5	28.22	51.7	42.2	48.0	44.5
E mi interessa che abbia trovato un senso alla propria vita e alla propria morte.	La ricerca continua.	0	85.48	73.12	64.3	129.0	88.66	75.1
Dalle automobili senza conducente alla medicina a livello cellulare, cioè diretta alla singola cellula malata, o all'agricoltura di precisione, dove quindi, passando il trattore o il drone, misura pianta per pianta e addirittura foglia per foglia, per vedere se ha bisogno di un po' più d'acqua, un po' più di pesticida, un po' più di fertilizzante, con un chiaro beneficio per l'ambiente invece che spruzzare tutto in modo indiscriminato.	Il fatto che noi si dipenda sempre di più dall'intelligenza artificiale per dare un senso a questa mole di dati, vuol dire che c'è, già oggi, una grossa competizione a livello globale.	0	-3.15	61.04	39.6	50.6	26.01	43.1
